NUM,WORD,INFRACTION_RATE
98,ROOM,0.7755102040816326
84,FRESHII,0.7738095238095238
508,FOODS,0.7736220472440944
106,EAST,0.7735849056603774
278,STARBUCKS,0.7733812949640287
295,LA,0.7728813559322034
360,ST,0.7722222222222223
114,HOTEL,0.7719298245614035
100,1,0.77
948,AND,0.7679324894514767
129,GO,0.7674418604651163
90,SERVICES,0.7666666666666667
346,EXPRESS,0.7658959537572254
97,MILK,0.7628865979381443
909,FOOD,0.7623762376237624
105,LEARNING,0.7619047619047619
109,WINGS,0.7614678899082569
134,SWEET,0.7611940298507462
142,WEST,0.7605633802816901
95,M,0.7578947368421053
731,KITCHEN,0.7578659370725034
82,REAL,0.7560975609756098
98,GREEN,0.7551020408163265
275,LOUNGE,0.7527272727272727
275,FRESH,0.7527272727272727
105,SUPER,0.7523809523809524
92,CORNER,0.75
137,2,0.7445255474452555
155,BURGERS,0.7419354838709677
120,NOVA,0.7416666666666667
553,VARIETY,0.7414104882459313
328,TEA,0.7378048780487805
388,CO,0.729381443298969
102,CHURCH,0.7254901960784313
86,COLLEGE,0.7209302325581395
670,MARKET,0.7208955223880597
118,COMPANY,0.7203389830508474
137,K,0.7153284671532847
159,PLUS,0.710691823899371
240,HOT,0.7083333333333334
82,TRADING,0.7073170731707317
82,FB,0.7073170731707317
525,SCHOOL,0.7066666666666667
125,NORTH,0.704
104,LITTLE,0.7019230769230769
134,BIG,0.7014925373134329
128,N,0.6953125
169,SMOKE,0.6923076923076923
109,BY,0.6880733944954128
99,GOOD,0.6868686868686869
127,CANADIAN,0.6850393700787402
219,LTD,0.684931506849315
358,STORE,0.6759776536312849
299,A,0.6755852842809364
307,TORONTO,0.6742671009771987
104,CITY,0.6730769230769231
110,WORLD,0.6727272727272727
670,CONVENIENCE,0.6716417910447762
618,MART,0.6682847896440129
87,CART,0.6666666666666666
373,SHOP,0.6648793565683646
133,SNACK,0.6616541353383458
88,KIDS,0.6590909090909091
208,SHOPPERS,0.6586538461538461
97,MINI,0.6494845360824743
124,MONTESSORI,0.6370967741935484
131,DOG,0.6335877862595419
193,CANADA,0.6321243523316062
84,CIRCLE,0.6309523809523809
89,BOOTH,0.6292134831460674
386,INC,0.6243523316062176
174,HALL,0.6149425287356322
108,GIFT,0.6111111111111112
147,INTERNATIONAL,0.6054421768707483
243,DRUG,0.6049382716049383
90,BENTO,0.6
171,PROGRAM,0.5964912280701754
120,DOLLAR,0.5916666666666667
96,SOUTH,0.5833333333333334
102,HEALTH,0.5490196078431373
124,NEWS,0.532258064516129
83,ESSO,0.5180722891566265
82,DOLLARAMA,0.47560975609756095
92,SHELL,0.4673913043478261
178,GATEWAY,0.4606741573033708
135,2022,0.4444444444444444
113,CREAM,0.40707964601769914
121,ICE,0.4049586776859504
99,PHARMACY,0.31313131313131315
111,PAN,0.2972972972972973
108,AM,0.28703703703703703
452,CNE,0.24778761061946902
256,RAWF,0.21484375
138,2017,0.17391304347826086
210,2018,0.09047619047619047
119,2019,0.05042016806722689
